"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
24786,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",76,"Sikensi","","","Sous-préfecture","Sub-prefecture"
24787,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",77,"Songon","","","Sous-préfecture","Sub-prefecture"
24788,56,"CIV","Côte d'Ivoire",9,"Lagunes",21,"Grand-Lahou",78,"Grand-Lahou","","","Sous-préfecture","Sub-prefecture"
24789,56,"CIV","Côte d'Ivoire",9,"Lagunes",22,"Tiassalé",79,"Taabo","","","Sous-préfecture","Sub-prefecture"
24790,56,"CIV","Côte d'Ivoire",9,"Lagunes",22,"Tiassalé",80,"Tiassale","","","Sous-préfecture","Sub-prefecture"
24791,56,"CIV","Côte d'Ivoire",10,"Marahoué",23,"Bouaflé",81,"Bonon","","","Sous-préfecture","Sub-prefecture"
24792,56,"CIV","Côte d'Ivoire",10,"Marahoué",23,"Bouaflé",82,"Bouafle","","","Sous-préfecture","Sub-prefecture"
24793,56,"CIV","Côte d'Ivoire",10,"Marahoué",24,"Sinfra",83,"Sinfra","","","Sous-préfecture","Sub-prefecture"
24794,56,"CIV","Côte d'Ivoire",10,"Marahoué",25,"Zuénoula",84,"Gohitafla","","","Sous-préfecture","Sub-prefecture"
24795,56,"CIV","Côte d'Ivoire",10,"Marahoué",25,"Zuénoula",85,"Zuenoula","","","Sous-préfecture","Sub-prefecture"
24796,56,"CIV","Côte d'Ivoire",11,"Moyen-Cavally",26,"Duékoué",86,"Duekoue","","","Sous-préfecture","Sub-prefecture"
24797,56,"CIV","Côte d'Ivoire",11,"Moyen-Cavally",27,"Guiglo",87,"Blolequin","","","Sous-préfecture","Sub-prefecture"
24798,56,"CIV","Côte d'Ivoire",11,"Moyen-Cavally",27,"Guiglo",88,"Guiglo","","","Sous-préfecture","Sub-prefecture"
24799,56,"CIV","Côte d'Ivoire",11,"Moyen-Cavally",27,"Guiglo",89,"Tahi","","","Sous-préfecture","Sub-prefecture"
